Name,Group,Path,URL,AdditionalScrape,AdditionalCode,is_adopted
DJ_FoodProducers,dj_sectors,raw_DJFoodProducers_price.parquet,indices/dj-food-producers,None,None,TRUE
DJ_FoodProducts,dj_sectors,raw_DJFoodProducts_price.parquet,indices/dj-food-products,None,None,TRUE
DJ_PersonalHouseholdGoods,dj_sectors,raw_DJPersonalHouseholdGoods_price.parquet,indices/dj-personal---household-goods,None,None,TRUE
DJ_HouseholdHomeConst,dj_sectors,raw_DJHouseholdHomeConst_price.parquet,indices/dj-household-goods---home-construct,None,None,TRUE
DJ_DurableHoushold,dj_sectors,raw_DJDurableHoushold_price.parquet,indices/dj-durable-household-products,None,None,TRUE
DJ_NondurableHousehold,dj_sectors,raw_DJNondurableHousehold_price.parquet,indices/dj-nondurable-household-products,None,None,TRUE
DJ_Furnishings,dj_sectors,raw_DJFurnishings_price.parquet,indices/dj-furnishings,None,None,TRUE
DJ_HomeConstruction,dj_sectors,raw_DJHomeConstruction_price.parquet,indices/dj-home-construction,None,None,TRUE
DJ_LeisureGoods,dj_sectors,raw_DJLeisureGoods_price.parquet,indices/dj-leisure-goods,None,None,TRUE
DJ_RecreationalProducts,dj_sectors,raw_DJRecreationalProducts_price.parquet,indices/dj-recreational-products,None,None,TRUE
DJ_Toys,dj_sectors,raw_DJToys_price.parquet,indices/dj-toys,None,None,TRUE
DJ_PersonalGoods,dj_sectors,raw_DJPersonalGoods_price.parquet,indices/dj-personal-goods,None,None,TRUE
DJ_ClothingAccessories,dj_sectors,raw_DJClothingAccessories_price.parquet,indices/dj-clothing---accessories,None,None,TRUE
DJ_Footwear,dj_sectors,raw_DJFootwear_price.parquet,indices/dj-footwear,None,None,TRUE
DJ_PersonalProducts,dj_sectors,raw_DJPersonalProducts_price.parquet,indices/dj-personal-products,None,None,TRUE
DJ_Tobacco,dj_sectors,raw_DJTobacco_price.parquet,indices/dj-tobacco,None,None,TRUE
DJ_HealthCare,dj_sectors,raw_DJHealthCare_price.parquet,indices/dj-health-care,None,None,TRUE
DJ_HealthCareEquipServ,dj_sectors,raw_DJHealthCareEquipServ_price.parquet,indices/dj-health-care-equip---services,None,None,TRUE
DJ_HealthCareProviders,dj_sectors,raw_DJHealthCareProviders_price.parquet,indices/dj-health-care-providers,None,None,TRUE
DJ_MedicalEquip,dj_sectors,raw_DJMedicalEquipment_price.parquet,indices/dj-medical-equipment,None,None,TRUE
DJ_MedicalSupplies,dj_sectors,raw_DJMedicalSupplies_price.parquet,indices/dj-medical-supplies,None,None,TRUE
DJ_PharmBiotech,dj_sectors,raw_DJPharmBiotech_price.parquet,indices/dj-pharmaceuticals---biotechnology,None,None,TRUE
DJ_Pharmaceuticals,dj_sectors,raw_DJPharmaceuticals_price.parquet,indices/dj-pharmaceuticals,None,None,TRUE
DJ_Biotech,dj_sectors,raw_DJBiotech_price.parquet,indices/dj-biotechnology,None,None,TRUE
