Code,CompanyName,MarketCodeName,Sector
5802,住友電気工業,プライム,自動車
6201,豊田自動織機,プライム,自動車
6592,マブチモーター,プライム,自動車
6902,デンソー,プライム,自動車
6923,スタンレー電気,プライム,自動車
7276,小糸製作所,プライム,自動車
7988,ニフコ,プライム,自動車
6961,エンプラス,プライム,自動車
7241,フタバ産業,プライム,自動車
7280,ミツバ,プライム,自動車
3569,セーレン,プライム,自動車
7250,太平洋工業,プライム,自動車
5988,パイオラックス,プライム,自動車
6463,ＴＰＲ,プライム,自動車
7239,タチエス,プライム,自動車
6383,ダイフク,プライム,住設・FA
6506,安川電機,プライム,住設・FA
6586,マキタ,プライム,住設・FA
6645,オムロン,プライム,住設・FA
5332,ＴＯＴＯ,プライム,住設・FA
6367,ダイキン工業,プライム,住設・FA
5929,三和ホールディングス,プライム,住設・FA
5938,ＬＩＸＩＬ,プライム,住設・FA
1878,大東建託,プライム,住宅
1925,大和ハウス工業,プライム,住宅
1911,住友林業,プライム,住宅
1928,積水ハウス,プライム,住宅
3291,飯田グループホールディングス,プライム,住宅
4204,積水化学工業,プライム,住宅
5393,ニチアス,プライム,住宅
2353,日本駐車場開発,プライム,住宅
7148,ＦＰＧ,プライム,住宅
8934,サンフロンティア不動産,プライム,住宅
9678,カナモト,プライム,住宅
8897,ＭＩＲＡＲＴＨホールディングス,プライム,住宅
8923,トーセイ,プライム,住宅
6301,小松製作所,プライム,重工・精密機械
6305,日立建機,プライム,重工・精密機械
6326,クボタ,プライム,重工・精密機械
6395,タダノ,プライム,重工・精密機械
1963,日揮ホールディングス,プライム,重工・精密機械
6269,三井海洋開発,プライム,重工・精密機械
7003,三井Ｅ＆Ｓ,プライム,重工・精密機械
7013,ＩＨＩ,プライム,重工・精密機械
7011,三菱重工業,プライム,重工・精密機械
7936,アシックス,プライム,重工・精密機械
7012,川崎重工業,プライム,重工・精密機械
7224,新明和工業,プライム,重工・精密機械
6501,日立製作所,プライム,重工・精密機械
6752,パナソニック　ホールディングス,プライム,重工・精密機械
6503,三菱電機,プライム,重工・精密機械
6504,富士電機,プライム,重工・精密機械
6508,明電舎,プライム,重工・精密機械
6632,ＪＶＣケンウッド,プライム,重工・精密機械
6952,カシオ計算機,プライム,重工・精密機械
6361,荏原製作所,プライム,重工・精密機械
5851,リョービ,プライム,重工・精密機械
3105,日清紡ホールディングス,プライム,重工・精密機械
6471,日本精工,プライム,重工・精密機械
7762,シチズン時計,プライム,重工・精密機械
8050,セイコーグループ,プライム,重工・精密機械
5333,日本碍子,プライム,重工・精密機械
6674,ジーエス・ユアサ　コーポレーション,プライム,重工・精密機械
6473,ジェイテクト,プライム,重工・精密機械
7732,トプコン,プライム,重工・精密機械
6486,イーグル工業,プライム,重工・精密機械
7240,ＮＯＫ,プライム,重工・精密機械
5801,古河電気工業,プライム,重工・精密機械
6753,シャープ,プライム,重工・精密機械
5803,フジクラ,プライム,重工・精密機械
7242,カヤバ,プライム,重工・精密機械
6371,椿本チエイン,プライム,重工・精密機械
6472,ＮＴＮ,プライム,重工・精密機械
6136,オーエスジー,プライム,重工・精密機械
6222,島精機製作所,プライム,重工・精密機械
6250,やまびこ,プライム,重工・精密機械
6406,フジテック,プライム,重工・精密機械
6474,不二越,プライム,重工・精密機械
7718,スター精密,プライム,重工・精密機械
5451,淀川製鋼所,プライム,商社（化学・工業）
6498,キッツ,プライム,商社（化学・工業）
8012,長瀬産業,プライム,商社（化学・工業）
8098,稲畑産業,プライム,商社（化学・工業）
6013,タクマ,プライム,商社（化学・工業）
7226,極東開発工業,プライム,商社（化学・工業）
8051,山善,プライム,商社（化学・工業）
8074,ユアサ商事,プライム,商社（化学・工業）
7164,全国保証,プライム,証券・リース
8439,東京センチュリー,プライム,証券・リース
8591,オリックス,プライム,証券・リース
8593,三菱ＨＣキャピタル,プライム,証券・リース
8424,芙蓉総合リース,プライム,証券・リース
8425,みずほリース,プライム,証券・リース
8566,リコーリース,プライム,証券・リース
8595,ジャフコ　グループ,プライム,証券・リース
8601,大和証券グループ本社,プライム,証券・リース
8604,野村ホールディングス,プライム,証券・リース
8697,日本取引所グループ,プライム,証券・リース
8473,ＳＢＩホールディングス,プライム,証券・リース
9672,東京都競馬,プライム,証券・リース
8628,松井証券,プライム,証券・リース
8698,マネックスグループ,プライム,証券・リース
8511,日本証券金融,プライム,証券・リース
8609,岡三証券グループ,プライム,証券・リース
8616,東海東京フィナンシャル・ホールディングス,プライム,証券・リース
8613,丸三証券,プライム,証券・リース
8706,極東証券,プライム,証券・リース
2002,日清製粉グループ本社,プライム,食品1・電話
2282,日本ハム,プライム,食品1・電話
2871,ニチレイ,プライム,食品1・電話
2531,宝ホールディングス,プライム,食品1・電話
2801,キッコーマン,プライム,食品1・電話
2501,サッポロホールディングス,プライム,食品1・電話
2502,アサヒグループホールディングス,プライム,食品1・電話
2503,キリンホールディングス,プライム,食品1・電話
2914,日本たばこ産業,プライム,食品1・電話
8079,正栄食品工業,プライム,食品1・電話
2201,森永製菓,プライム,食品1・電話
2206,江崎グリコ,プライム,食品1・電話
2229,カルビー,プライム,食品1・電話
2267,ヤクルト本社,プライム,食品1・電話
2269,明治ホールディングス,プライム,食品1・電話
8060,キヤノンマーケティングジャパン,プライム,食品1・電話
1332,ニッスイ,プライム,食品1・電話
1333,マルハニチロ,プライム,食品1・電話
2212,山崎製パン,プライム,食品1・電話
2802,味の素,プライム,食品1・電話
2809,キユーピー,プライム,食品1・電話
2810,ハウス食品グループ本社,プライム,食品1・電話
2815,アリアケジャパン,プライム,食品1・電話
2001,ニップン,プライム,食品1・電話
2918,わらべや日洋ホールディングス,プライム,食品1・電話
7864,フジシールインターナショナル,プライム,食品1・電話
9787,イオンディライト,プライム,食品1・電話
9432,日本電信電話,プライム,食品1・電話
9433,ＫＤＤＩ,プライム,食品1・電話
6005,三浦工業,プライム,食品2・生活インフラ
6845,アズビル,プライム,食品2・生活インフラ
4665,ダスキン,プライム,食品2・生活インフラ
5463,丸一鋼管,プライム,食品2・生活インフラ
7451,三菱食品,スタンダード,食品2・生活インフラ
7734,理研計器,プライム,食品2・生活インフラ
9869,加藤産業,プライム,食品2・生活インフラ
2579,コカ・コーラ　ボトラーズジャパンホールディングス,プライム,食品2・生活インフラ
2593,伊藤園,プライム,食品2・生活インフラ
2220,亀田製菓,プライム,食品2・生活インフラ
5947,リンナイ,プライム,食品2・生活インフラ
1377,サカタのタネ,プライム,食品2・生活インフラ
2602,日清オイリオグループ,プライム,食品2・生活インフラ
2811,カゴメ,プライム,食品2・生活インフラ
3593,ホギメディカル,プライム,食品2・生活インフラ
2281,プリマハム,プライム,食品2・生活インフラ
7947,エフピコ,プライム,食品2・生活インフラ
2292,Ｓ　Ｆｏｏｄｓ,プライム,食品2・生活インフラ
2590,ダイドーグループホールディングス,プライム,食品2・生活インフラ
2607,不二製油,プライム,食品2・生活インフラ
2910,ロック・フィールド,プライム,食品2・生活インフラ
9830,トラスコ中山,プライム,食品2・生活インフラ
3167,ＴＯＫＡＩホールディングス,プライム,食品2・生活インフラ
7817,パラマウントベッドホールディングス,プライム,食品2・生活インフラ
7453,良品計画,プライム,食品スーパー
2791,大黒天物産,プライム,食品スーパー
8278,フジ,プライム,食品スーパー
5192,三ツ星ベルト,プライム,食品スーパー
8057,内田洋行,プライム,食品スーパー
8097,三愛オブリ,プライム,食品スーパー
8173,上新電機,プライム,食品スーパー
