Code,CompanyName,Level0,Level1,Level2,Level3,Level4,Level5,Cluster,Subsector,Sector
4188,三菱ケミカルグループ,27,2,2,1,-1,-1,78,化学1,化学1
4182,三菱瓦斯化学,27,2,2,2,-1,-1,79,化学1,化学1
4403,日油,27,2,2,2,-1,-1,79,化学1,化学1
7201,日産自動車,28,-1,-1,-1,-1,-1,80,自動車2,自動車3
7211,三菱自動車工業,28,-1,-1,-1,-1,-1,80,自動車2,自動車3
7261,マツダ,28,-1,-1,-1,-1,-1,80,自動車2,自動車3
7270,ＳＵＢＡＲＵ,28,-1,-1,-1,-1,-1,80,自動車2,自動車3
9432,日本電信電話,29,-1,-1,-1,-1,-1,81,電話,電話
9433,ＫＤＤＩ,29,-1,-1,-1,-1,-1,81,電話,電話
6448,ブラザー工業,30,-1,-1,-1,-1,-1,82,OA機器,OA機器
6724,セイコーエプソン,30,-1,-1,-1,-1,-1,82,OA機器,OA機器
7731,ニコン,30,-1,-1,-1,-1,-1,82,OA機器,OA機器
7751,キヤノン,30,-1,-1,-1,-1,-1,82,OA機器,OA機器
7202,いすゞ自動車,31,-1,-1,-1,-1,-1,83,自動車3,自動車3
7205,日野自動車,31,-1,-1,-1,-1,-1,83,自動車3,自動車3
7269,スズキ,31,-1,-1,-1,-1,-1,83,自動車3,自動車3
7272,ヤマハ発動機,31,-1,-1,-1,-1,-1,83,自動車3,自動車3
4063,信越化学工業,32,1,-1,-1,-1,-1,84,電子部品,電子部品
6988,日東電工,32,1,-1,-1,-1,-1,84,電子部品,電子部品
6806,ヒロセ電機,32,2,-1,-1,-1,-1,85,電子部品,電子部品
7701,島津製作所,32,2,-1,-1,-1,-1,85,電子部品,電子部品
6479,ミネベアミツミ,32,2,1,-1,-1,-1,86,電子部品,電子部品
6762,ＴＤＫ,32,2,1,-1,-1,-1,86,電子部品,電子部品
6965,浜松ホトニクス,32,2,1,-1,-1,-1,86,電子部品,電子部品
6981,村田製作所,32,2,1,-1,-1,-1,86,電子部品,電子部品
4062,イビデン,32,2,2,1,-1,-1,87,電子部品,電子部品
6951,日本電子,32,2,2,1,-1,-1,87,電子部品,電子部品
6976,太陽誘電,32,2,2,1,-1,-1,87,電子部品,電子部品
6758,ソニーグループ,32,2,2,2,-1,-1,88,電子部品,電子部品
6770,アルプスアルパイン,32,2,2,2,-1,-1,88,電子部品,電子部品
9101,日本郵船,33,-1,-1,-1,-1,-1,89,海運,海運
9104,商船三井,33,-1,-1,-1,-1,-1,89,海運,海運
9107,川崎汽船,33,-1,-1,-1,-1,-1,89,海運,海運
6113,アマダ,34,-1,-1,-1,-1,-1,90,機械,機械
6141,ＤＭＧ森精機,34,-1,-1,-1,-1,-1,90,機械,機械
