Code,CompanyName,SubSector,Sector,Current
5334,日本特殊陶業,自動車部品（基幹）,自動車（特殊車両・基幹部品）,1
6201,豊田自動織機,自動車部品（基幹）,自動車（特殊車両・基幹部品）,1
6592,マブチモーター,自動車部品（基幹）,自動車（特殊車両・基幹部品）,1
6961,エンプラス,自動車部品（基幹）,自動車（特殊車両・基幹部品）,1
5802,住友電気工業,自動車部品（基幹）,自動車（特殊車両・基幹部品）,1
5851,リョービ,自動車部品（基幹）,自動車（特殊車両・基幹部品）,1
6486,イーグル工業,自動車部品（基幹）,自動車（特殊車両・基幹部品）,1
6902,デンソー,自動車部品（基幹）,自動車（特殊車両・基幹部品）,1
7240,ＮＯＫ,自動車部品（基幹）,自動車（特殊車両・基幹部品）,1
5929,三和ホールディングス,住宅設備,住宅,1
5938,ＬＩＸＩＬ,住宅設備,住宅,1
7943,ニチハ,住宅設備,住宅,1
1808,長谷工コーポレーション,住宅,住宅,1
1878,大東建託,住宅,住宅,1
1925,大和ハウス工業,住宅,住宅,1
4204,積水化学工業,住宅,住宅,1
1911,住友林業,住宅,住宅,1
1928,積水ハウス,住宅,住宅,1
3291,飯田グループホールディングス,住宅,住宅,1
3088,マツキヨココカラ＆カンパニー,ドラッグ・スーパー,小売（ドラッグ・GMS）,1
3141,ウエルシアホールディングス,ドラッグ・スーパー,小売（ドラッグ・GMS）,1
3349,コスモス薬品,ドラッグ・スーパー,小売（ドラッグ・GMS）,1
3391,ツルハホールディングス,ドラッグ・スーパー,小売（ドラッグ・GMS）,1
9627,アインホールディングス,ドラッグ・スーパー,小売（ドラッグ・GMS）,1
9989,サンドラッグ,ドラッグ・スーパー,小売（ドラッグ・GMS）,1
2664,カワチ薬品,ドラッグ・スーパー,小売（ドラッグ・GMS）,1
2791,大黒天物産,ドラッグ・スーパー,小売（ドラッグ・GMS）,1
