,Code,Sector,Sector33CodeName
670,6871,半導体1,
671,6875,PC・ソシャゲ,
672,6877,自動車部品2,
673,6902,トヨタ系他,
674,6905,コーセル,
675,6908,イリソ電子工業,
676,6914,センサー・産機,
677,6920,半導体1,
678,6923,トヨタ系他,
679,6925,樹脂等,
680,6929,日本セラミック,
681,6941,電子部品,
682,6947,EDA・CAD,
683,6951,半導体1,
684,6952,OA機器・時計,
685,6954,産業機械1,
686,6958,自動車部品1,
687,6961,エンプラス,
688,6962,半導体1,
689,6963,電子部品,
690,6965,センサー・産機,
691,6966,半導体1,
692,6967,電子部品,
693,6971,樹脂等,
694,6976,電子部品,
695,6981,電子部品,
696,6986,双葉電子工業,
697,6988,樹脂等,
698,6995,トヨタ系他,
699,6996,樹脂等,
700,6997,樹脂等,
701,6999,ＫＯＡ,
702,7003,重機・重工,
703,7004,重電,
704,7011,重機・重工,
705,7012,重機・重工,
706,7013,重機・重工,
707,7014,海運,
708,7105,商社,
709,7148,リース・ローン,
710,7164,不動産,
711,7167,地銀,
712,7173,地銀,
713,7180,地銀,
714,7181,都銀・保険,
715,7182,都銀・保険,
716,7184,富山第一銀行,
717,7186,地銀,
718,7189,西日本フィナンシャルホールディングス,
719,7201,自動車,
720,7202,自動車,
721,7203,自動車,
722,7205,自動車,
723,7211,自動車,
724,7220,トヨタ系他,
725,7222,自動車,
726,7224,新明和工業,
727,7226,極東開発工業,
728,7231,トピー工業,
729,7238,自動車部品（ゴム）,
730,7239,自動車部品（ゴム）,
731,7240,機械部品2,
732,7241,自動車部品（ゴム）,
733,7242,機械部品2,
734,7244,トヨタ系他,
735,7245,大同メタル工業,
736,7246,自動車部品1,
737,7250,トヨタ系他,
738,7256,自動車部品（ゴム）,
739,7259,トヨタ系他,
740,7261,自動車,
741,7267,自動車,
742,7269,自動車,
743,7270,自動車,
744,7272,自動車,
745,7276,トヨタ系他,
746,7278,トヨタ系他,
747,7280,自動車,
748,7282,トヨタ系他,
749,7283,トヨタ系他,
750,7294,自動車部品2,
751,7296,トヨタ系他,
752,7309,塗料・酸素,
753,7313,自動車部品（ゴム）,
754,7337,地銀,
755,7408,繊維,
756,7419,家電量販店,
757,7421,外食2・学習塾,
